date,country,countryCode,provinceCode,city,cityCode,confirmed,suspected,cured,dead,province
2019-12-01,中国,CN,420000.0,,,1,0,0,0,湖北
2019-12-02,中国,CN,420000.0,,,1,0,0,0,湖北
2019-12-03,中国,CN,420000.0,,,1,0,0,0,湖北
2019-12-04,中国,CN,420000.0,,,1,0,0,0,湖北
2019-12-05,中国,CN,420000.0,,,1,0,0,0,湖北
2019-12-06,中国,CN,420000.0,,,1,0,0,0,湖北
2019-12-07,中国,CN,420000.0,,,1,0,0,0,湖北
2019-12-08,中国,CN,420000.0,,,1,0,0,0,湖北
2019-12-09,中国,CN,420000.0,,,1,0,0,0,湖北
2019-12-10,中国,CN,420000.0,,,1,0,0,0,湖北
2019-12-11,中国,CN,420000.0,,,4,0,0,0,湖北
2019-12-12,中国,CN,420000.0,,,4,0,0,0,湖北
2019-12-13,中国,CN,420000.0,,,4,0,0,0,湖北
2019-12-14,中国,CN,420000.0,,,4,0,0,0,湖北
2019-12-15,中国,CN,420000.0,,,6,0,0,0,湖北
2019-12-16,中国,CN,420000.0,,,6,0,0,0,湖北
2019-12-17,中国,CN,420000.0,,,7,0,0,0,湖北
2019-12-18,中国,CN,420000.0,,,8,0,0,0,湖北
2019-12-19,中国,CN,420000.0,,,9,0,0,0,湖北
2019-12-20,中国,CN,420000.0,,,14,0,0,0,湖北
2019-12-21,中国,CN,420000.0,,,18,0,0,0,湖北
2019-12-22,中国,CN,420000.0,,,21,0,0,0,湖北
2019-12-23,中国,CN,420000.0,,,29,0,0,0,湖北
2019-12-24,中国,CN,420000.0,,,30,0,0,0,湖北
2019-12-25,中国,CN,420000.0,,,33,0,0,0,湖北
2019-12-26,中国,CN,420000.0,,,35,0,0,0,湖北
2019-12-27,中国,CN,420000.0,,,37,0,0,0,湖北
2019-12-28,中国,CN,420000.0,,,37,0,0,0,湖北
2019-12-29,中国,CN,420000.0,,,37,0,0,0,湖北
2019-12-30,中国,CN,420000.0,,,37,0,0,0,湖北
2019-12-31,中国,CN,420000.0,,,40,0,0,0,湖北
2020-01-01,中国,CN,420000.0,,,43,0,0,0,湖北
2020-01-02,中国,CN,420000.0,,,44,0,0,0,湖北
2020-01-03,中国,CN,420000.0,,,41,0,0,0,湖北
2020-01-04,中国,CN,420000.0,,,41,0,0,0,湖北
2020-01-05,中国,CN,420000.0,,,41,0,0,0,湖北
2020-01-06,中国,CN,420000.0,,,41,0,0,0,湖北
2020-01-07,中国,CN,420000.0,,,41,0,0,0,湖北
2020-01-08,中国,CN,420000.0,,,41,0,0,0,湖北
2020-01-09,中国,CN,420000.0,,,41,0,0,0,湖北
2020-01-10,中国,CN,420000.0,,,41,0,2,1,湖北
2020-01-11,中国,CN,420000.0,,,41,0,6,1,湖北
2020-01-12,中国,CN,420000.0,,,41,0,7,1,湖北
2020-01-13,中国,CN,420000.0,,,41,0,7,1,湖北
2020-01-14,中国,CN,420000.0,,,41,0,7,1,湖北
2020-01-15,中国,CN,420000.0,,,41,0,12,2,湖北
2020-01-16,中国,CN,420000.0,,,45,0,15,2,湖北
2020-01-17,中国,CN,420000.0,,,62,0,19,2,湖北
2020-01-18,中国,CN,420000.0,,,121,0,24,3,湖北
2020-01-19,中国,CN,420000.0,,,198,0,25,3,湖北
2020-01-19,中国,CN,440000.0,,,1,0,0,0,广东
2020-01-20,中国,CN,110000.0,,,5,0,0,0,北京
2020-01-20,中国,CN,220000.0,,,0,1,0,0,吉林
2020-01-20,中国,CN,310000.0,,,1,0,0,0,上海
2020-01-20,中国,CN,330000.0,,,0,16,0,0,浙江
2020-01-20,中国,CN,340000.0,,,0,1,0,0,安徽
2020-01-20,中国,CN,360000.0,,,0,2,0,0,江西
2020-01-20,中国,CN,370000.0,,,0,1,0,0,山东
2020-01-20,中国,CN,420000.0,,,270,0,25,6,湖北
2020-01-20,中国,CN,440000.0,,,14,7,0,0,广东
2020-01-20,中国,CN,450000.0,,,0,1,0,0,广西
2020-01-20,中国,CN,460000.0,,,0,1,0,0,海南
2020-01-20,中国,CN,510000.0,,,0,3,0,0,四川
2020-01-20,中国,CN,520000.0,,,0,1,0,0,贵州
2020-01-20,中国,CN,530000.0,,,0,1,0,0,云南
2020-01-20,中国,CN,640000.0,,,0,1,0,0,宁夏
2020-01-21,中国,CN,110000.0,,,10,0,0,0,北京
2020-01-21,中国,CN,120000.0,,,2,0,0,0,天津
2020-01-21,中国,CN,140000.0,,,0,1,0,0,山西
2020-01-21,中国,CN,220000.0,,,0,1,0,0,吉林
